CODGEO,code_departement,P10_POP1564,P10_CHOM1564,P15_POP1564,P15_CHOM1564,P21_POP1564,P21_CHOM1564
44001,44,1151.0,99.0,1200.0,84.0,1256.43049226708,70.7483050837851
44002,44,1992.0,93.0,2278.0,130.0,2537.09182040888,113.466899563206
44003,44,6538.05918778892,359.718874220931,6307.50540726127,520.545049004924,6707.58710058102,498.786053642484
44005,44,3682.33866995074,246.097290640394,4096.14737274221,302.250821018063,4436.59403054214,266.617418659146
44006,44,1114.0,78.0,1090.0,101.0,1142.35836885379,80.7073793732754
44007,44,1453.01483560545,112.371692060946,1461.35065144583,130.53414824059,1465.66406055044,111.219784135122
44009,44,5480.53713735769,260.270981726335,5640.39860917388,342.505647972156,5876.98092273187,289.56059228405
44010,44,1929.26555749857,162.140748295972,1748.27072008625,178.708047622546,1532.77775291408,153.909455092593
44012,44,1367.82650480502,117.060139511455,1407.2559917374,143.047021319145,1568.40515270678,124.906031922401
44013,44,1695.0,114.0,1832.0,158.0,2055.27617442267,128.607719402601
44014,44,2099.92449382254,92.0040222761314,2309.07757949989,123.586124930135,2464.61098099955,96.5542415731122
44015,44,5899.89175173686,365.560107623489,5910.67772501414,489.310693567893,6089.25673674123,454.964602968716
44016,44,595.345679012345,30.7407407407407,683.342339032637,44.7819645902261,701.94296872724,30.3552705268405
44018,44,3954.0,184.0,4669.0,328.0,5070.35265856637,292.336721880069
44019,44,568.44141069397,43.0489192263936,605.718784349918,38.2224522596475,649.979606551262,24.3748958330928
44020,44,12000.2415264871,794.633762463554,11932.7154592813,1052.98480703991,12936.1089025758,925.703995625044
44021,44,2710.0,214.0,2823.0,265.0,2895.73907181003,190.262065508207
44022,44,1665.0,80.0,1628.0,104.0,1756.26180010653,81.5652575013731
44023,44,1734.99045322914,84.6267250317237,1863.44628269699,125.242645830979,1919.46067244281,113.350872284646
44024,44,1718.00541167375,74.9130266718206,1794.19683098592,92.6535211267606,1828.72442672832,73.7095093006777
44025,44,2316.94761676523,116.196902550066,2361.64346634606,151.233211832726,2378.83363991267,131.704887368075
44026,44,12276.8575461611,543.447596515845,12721.5784841507,868.593026002571,13239.9520668894,708.601967329123
44027,44,1322.0767408811,67.2913311226907,1434.65539016689,85.6657645466847,1690.81037813621,78.506978152244
44028,44,2383.29700360013,120.129130316889,2309.26758422015,151.859949893821,2461.98158981361,160.91458594374
44029,44,4252.32523462591,242.45499232398,4264.64376400299,251.947722180732,4434.39913643897,227.635752670884
44030,44,2350.06911712447,132.453970473381,2379.11898888681,180.872530749837,2560.01780585602,209.617974524106
44031,44,489.808252427185,31.9223300970874,459.683823529414,41.1507352941178,474.711969203702,33.7372919647878
44032,44,1844.64942349642,100.582736054846,1980.81250349677,104.096183517396,2183.69510494251,75.9308759647371
44033,44,1824.5741538441,89.1969982867837,1822.10777555458,94.5322022901308,1997.93232108529,85.6278532539548
44035,44,11499.7045880598,594.974146065352,12098.1749855858,767.927372854096,12542.295489153,827.455442259224
44036,44,7182.05626414849,693.517511696382,6946.62204890915,846.074622172483,6959.64499678342,717.782216627393
44037,44,1857.92847380999,108.865404455527,1833.75031781035,125.886340640809,1973.3506869771,85.1202634402242
44038,44,1586.53930295162,83.9479332193032,1705.89954316264,139.732050792091,1868.03295308738,88.6517629677493
44039,44,527.846659364732,19.4129244249726,662.208059981256,35.6129334582943,756.585817398238,36.4322597382145
44041,44,3340.55858044438,140.885687867318,3540.40067851576,201.233696294182,3890.67457172657,217.683688931535
44043,44,4237.09081704232,297.471115567176,4212.39238579584,345.311714220919,4531.79172813996,254.658173552789
44044,44,631.0,63.0,638.0,71.0,631.493067438607,60.6320304670718
44045,44,1918.31958299731,81.1642886233219,2322.83721610803,107.137036658347,2382.05197347074,101.330744126645
44046,44,1794.04548900682,74.838514025777,1756.41952614804,115.813481014807,1696.23062810393,107.557610258365
44047,44,12005.9406069781,528.332380439605,13170.3153865447,869.083598293062,14834.3615312473,980.706533275086
44048,44,1468.0,77.0,1618.0,97.0,1621.15643194037,67.7728212898384
44049,44,2206.83676960342,140.654623384432,2011.0304630912,177.656644661906,1910.00629618305,199.508213895415
44050,44,1699.23365912907,101.456510501251,1751.96273461397,123.734755069351,1837.99285158456,78.6436147410849
44051,44,1937.84683409918,141.227677420527,2058.91662925897,165.748151673238,2172.17452347017,120.68062585635
44052,44,4172.1127377124,306.949024858704,4663.33019945795,458.882942661782,5015.14576529122,328.594659523286
44053,44,1174.22058099458,86.206302314131,1321.42280071813,91.6315080789946,1441.30685584816,72.3985737681199
44054,44,1922.50319558792,84.0959909192944,1892.47631731271,118.727658342292,1894.77345691082,110.687582374659
44055,44,8948.65685758337,655.582329758146,8004.88456365044,732.029980274524,7780.10135986327,677.187920197768
44056,44,2023.0,155.0,2198.0,146.0,2292.02811610024,124.529275571959
44057,44,1377.0,116.0,1449.0,154.0,1351.13004257146,119.35921320434
44058,44,316.556886227545,27.1057884231537,299.544303797467,21.8417721518987,296.566525426616,30.9765963304475
44061,44,1788.69631015255,127.330307884556,1887.97030388234,141.193909004598,1894.04981821286,134.337867029162
44062,44,957.444830439141,77.6593769372409,1089.11125297864,90.8961356491092,1213.29698110733,88.8898928703321
44063,44,2150.0,136.0,2277.0,140.0,2321.13482028619,122.723162553462
44064,44,2635.0,140.0,2730.0,169.0,3081.77192435222,138.393566119888
44065,44,471.0,47.0,462.0,38.0,445.83677520265,34.9057076440671
44066,44,3168.5550667971,166.961576588419,3740.59062501372,197.254320437534,4370.68908685642,178.783557566795
44067,44,2927.71307338803,323.894809552003,2940.75047389027,300.707429232442,3083.19370216682,272.693092467867
44068,44,1826.7778893424,136.896589382817,1959.01873185292,150.299809915489,2082.11029522259,128.518313934879
44069,44,10053.2276670199,635.008815478026,9972.87507136362,846.333179112463,9632.1961725664,638.539886746329
44070,44,2874.07825298274,126.218070582394,2985.81375623878,179.170878737735,3041.14446120359,155.853552460993
44071,44,3561.0,157.0,3560.0,213.0,3695.83980742894,192.346847328586
44072,44,3680.78236308373,264.611543845793,4029.95569364454,355.866171567142,4280.46691540337,259.776460453
44073,44,3276.0,175.0,3667.0,238.0,4094.07589773562,225.212001716943
44074,44,2615.82310469314,185.040742650851,2557.01180836011,219.119478640243,2707.266018999,193.008701551365
44075,44,1112.71516660795,53.1778849013089,1133.65275462953,102.828644940707,1054.04694597077,77.1108075230222
44076,44,666.312175860731,51.2914884536102,797.948720785335,50.8256415550098,867.558799960467,49.3330434106236
44077,44,1298.20368470888,76.746837672703,1378.41865935993,120.217211813509,1577.30312862475,76.7253110990687
44078,44,224.258823529412,4.1529411764706,207.856502335204,21.8313637077169,188.196407503361,18.8487557260467
44079,44,1933.18259888367,108.977604460985,1926.22965631571,115.570018543096,2058.16425647181,93.3065128410609
44080,44,500.982781456951,36.1430463576157,502.697127937337,46.6932114882507,493.240873852218,23.2025981642769
44081,44,2659.77212575106,148.831119052013,2706.77000491895,235.848501917474,2768.84818022452,150.841974533495
44082,44,2889.0,151.0,3096.0,176.0,3432.42430049398,154.331639006423
44083,44,1304.12583487179,66.9565130105556,1444.55969476355,101.691001660738,1556.15958629983,68.3771926097996
44084,44,4461.49669998839,157.70993138037,5153.14821146288,321.967776923301,5516.46617827539,296.640083696266
44085,44,591.0,32.0,635.0,46.0,561.739130050369,27.8953709662473
44086,44,629.469847296378,28.1109585711685,659.293796732974,54.9830133015345,675.357564616924,66.7601203978007
44087,44,4477.82376283104,242.477240203354,4431.53674184846,345.67014844638,4516.69410193664,307.839292034013
44088,44,1721.98647205411,71.3193307226771,1797.82509633231,103.511410987054,1920.27227585134,65.4027353548556
44089,44,2088.86500615006,120.530135301353,2211.7008374242,153.917123881028,2277.60089176233,102.358658054181
44090,44,899.97771449736,48.1059820823472,935.983772819473,71.1737660581474,1065.04968710001,52.6863847535134
44091,44,891.516587677725,60.7406905890318,910.174783188793,77.8438959306204,955.31196571498,49.7170485977204
44092,44,386.571214392804,46.2728635682159,396.714905933429,52.2257597684514,404.983685030899,31.1228398061385
44094,44,1938.0,109.0,2018.0,136.0,2081.14099878424,104.879056299221
44095,44,804.903213671716,55.7542440770866,919.411150581124,81.6894263732986,972.978228416554,61.5199935790458
44096,44,2810.83174038675,130.872638364081,2898.95006402049,174.215749039693,2934.36554801672,121.046995337268
44097,44,1007.0,73.0,1034.0,122.0,1072.32611589104,116.177466628377
44098,44,2998.35523352766,197.626214802357,3069.85661332538,251.945077892625,3321.83102215428,150.069417916753
44099,44,1125.76206443142,73.5239772069056,1123.12365688736,86.5572230840265,1124.10485546113,95.6551163408504
44100,44,1298.0,58.0,1337.0,90.0,1467.85354235728,76.4586101739042
44101,44,3741.05204957235,215.587421650906,3823.38933452172,293.631463992462,4018.29318739982,290.047915112311
44102,44,1919.54782482106,51.8335255092399,1884.24164766232,84.4650674289851,2042.7317118105,99.6812361881113
44103,44,4459.99767562998,444.416098765433,4422.08597847269,417.560207164437,4389.29581683763,287.96307613482
44104,44,529.777509068924,15.9032648125756,555.890781988165,39.1355276212533,510.478350142521,18.6966288704953
44105,44,239.0,22.0,235.0,25.0,226.203297180389,20.8513690900115
44106,44,778.701613489594,49.8776196875688,880.671619749705,67.4812407802489,947.193148600395,69.3754720243026
44107,44,1123.53424657534,68.3890410958904,1205.30362860192,98.6798292422624,1317.34508726751,73.3585483385227
44108,44,1693.1555379461,62.8260479722625,1805.14118250525,116.050428358143,1869.85705968867,95.7875720327417
44109,44,201106.008062008,20150.2175704717,212376.957147464,25809.5762217102,224852.416808738,22686.9308147754
44110,44,4821.63800440765,280.44238211126,5230.60465627721,347.341681370664,5754.55932081234,273.476884271226
44111,44,1279.67711869717,60.8231601773359,1329.84235074627,86.1119402985075,1500.73291610574,74.9531645100533
44112,44,374.504347826088,20.2434782608696,389.776603505505,26.3085507464164,374.138891431285,22.7310841545887
44113,44,2300.0,149.0,2403.0,215.0,2525.69670594781,178.69422284087
44114,44,15938.4311473506,996.021924808157,15565.4361118707,1235.17289293707,16683.5482977816,1190.58912876512
44115,44,2111.71909830601,101.838099694068,2248.38026531132,156.303896335019,2384.26648480909,114.272241848585
44116,44,1876.20102563607,177.92686121317,1875.75468623785,240.047328819586,1769.61128920634,158.780647113472
44117,44,1929.24112233918,117.488370439197,2068.80023131253,138.784789796973,2145.13278058783,79.9758479287919
44118,44,790.26086956522,69.9710144927538,786.155958025984,63.3006984394717,872.751736041948,50.0807697403629
44119,44,1175.54700240291,76.9233776740161,1186.58422841478,89.6663144897819,1237.35977009906,68.3581175589978
44120,44,2811.0,212.0,3104.0,288.0,3314.42703798852,223.554354505708
44121,44,273.0,17.0,255.403187928674,25.9155937370886,263.298478892269,24.1054099456915
44122,44,2257.18465909091,87.5335227272727,2359.57789502916,130.252707581227,2486.70536176933,113.862357573788
44123,44,556.65221878225,36.0072239422085,586.803662258393,48.9003051881994,611.147047733465,36.791188795258
44124,44,455.980922068023,36.9921254870928,489.323607427057,41.6445623342176,470.784644318982,31.803677882583
44125,44,1227.10889350352,93.6214597503726,1080.41276185408,104.505373646855,1115.56214309462,99.943736152114
44126,44,2336.3376202478,123.922223230007,2346.63514380562,206.142504939979,2428.04479108323,229.692233555357
44127,44,1564.48316169429,57.5964213606608,1634.37004618077,95.3114701303324,1702.94429544005,97.4462751015377
44128,44,2840.12713790855,202.612523001635,3128.92631093955,329.434558103529,3152.76322825212,267.958924904622
44129,44,6157.0,453.0,6475.0,577.0,6713.21461763443,479.789921734711
44130,44,3734.49210754698,139.570743802828,3666.61699901464,188.616444488829,4271.04833374116,240.449333804485
44131,44,8303.68008224218,493.671281148188,8290.21129604421,664.617093758368,9312.9950691903,734.043603469632
44132,44,6377.44465139013,504.787350400191,5974.16776751854,487.201065086349,6351.76386537743,556.845812014721
