CODGEO,P22_POP,P16_POP,SUPERF,NAIS1621,DECE1621,P22_MEN,NAISD24,DECESD24,P22_LOG,P22_RP,P22_RSECOCC,P22_LOGVAC,P22_RP_PROP,MED_SL23,PR_MD60_23,P22_EMPLT,P22_EMPLT_SAL,P16_EMPLT,P22_POP1564,P22_CHOM1564,P22_ACT1564,ETTOT24,ETAZ24,ETBE24,ETFZ24,ETGU24,ETOQ24,ETTEF124,ETTEFP1024
44001,2052,2068,61.76,130,86,862.386109758026,23,11,969.924395514038,862.386109758026,27.3918275038899,80.1464582521223,638.581413441522,24080,s,304.951369316192,167.542365308353,334.123137995529,1262.36169148975,71.258563623214,1008.92963223259,57,13,2,8,25,9,44,3
44002,4121,3763,14.58,315,179,1548.66143902647,29,44,1638.91362379551,1548.66143902647,25.6398252184768,64.6123595505614,1249.20014927058,27630,s,1550.02111149492,1347.38238700792,1408.26193036799,2571.81392209144,115.135492776382,2109.8396730437,140,6,12,21,83,18,94,31
44003,11346,10595,27.58,565,610,5331.56420877528,102,127,5835.57318665008,5331.56420877528,159.998702719811,344.010275154991,3012.0235568567,26100,13,14039.9987821419,13111.7019107557,12047.9199938691,6851.29708196712,482.984573676039,5043.67602137026,720,7,59,50,504,100,500,182
44005,7288,6691,76.55,455,328,3024.34526501472,58,52,3335.4246586376,3024.34526501472,138.257508276836,172.821885346045,2270.49142914108,25870,8,1907.57946651487,1616.37590052088,1883.72853178875,4502.78068970193,270.963314027959,3618.83749956738,177,19,18,38,69,33,137,31
44006,1881,1797,32.91,108,91,877.499470507118,13,4,1639.08706400305,877.499470507118,631.235,130.352593495935,691.725694387513,25700,s,274.49854626711,118.455888129925,294.492097796937,1142.23115785225,81.2463708577705,839.637513019018,47,10,1,4,23,9,40,1
44007,2451,2501,76.49,141,124,1117.75105753782,13,15,1356.91945589337,1117.75105753782,90.0764097702731,149.09198858528,847.838712554232,22940,s,368.942442698957,213.721563333083,454.974632616076,1464.87362774138,111.109577555815,1134.29956974375,75,32,3,11,23,6,60,4
44009,9617,8867,13.74,446,336,3953.73335903014,63,74,4109.65562942746,3953.73335903014,30.7871998873681,125.135070509948,2950.0731404009,32310,6,3711.39525623074,3178.21386441775,3213.48129388008,5913.00964817422,291.278549013094,4500.62475143079,360,5,13,29,286,27,255,84
44010,2799,2947,9.27,107,298,1491.47021492569,22,54,4198.9271019993,1491.47021492569,2566.09137424117,141.365512832447,1099.19310661793,27730,s,577.57872521736,343.619546025257,597.641987777687,1514.54481579199,152.573179870214,1064.53602970342,128,7,15,14,86,6,87,12
44012,3523,2944,6.09,124,332,1789,11,68,4119,1789,2249,81,1378,28490,s,696.081345957606,514.782165864016,615.099243733142,1639,131,1198,113,6,6,11,77,13,87,13
44013,3317,2999,17.54,243,85,1318.3549971718,31,16,1393.88710049283,1318.3549971718,23.7977859778598,51.7343173431735,1091.76157317056,26930,s,536.086784991361,430.571581897729,553.535031233202,2077.29896939948,130.142060158964,1713.79711028405,48,2,10,11,20,5,38,8
