batch_id,source_fichier,reject_rule,reject_reason,nb_lignes,raw_payload,reject_ts
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44002_0001"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44002"",""libelle_commune"":""Aigrefeuille-Sur-Maine"",""code_circonscription"":""10.0"",""libelle_circonscription"":""10\u00e8me circonscription"",""code_bv"":""0001"",""inscrits"":""941"",""abstentions"":""190"",""votants"":""751"",""blancs"":""15.0"",""nuls"":""9"",""exprimes"":""727"",""ratio_abstentions_inscrits"":""20.19"",""ratio_votants_inscrits"":""79.81"",""ratio_blancs_inscrits"":""1.59"",""ratio_blancs_votants"":""2.0"",""ratio_nuls_inscrits"":""0.96"",""ratio_nuls_votants"":""1.2"",""ratio_exprimes_inscrits"":""77.26"",""ratio_exprimes_votants"":""96.8""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44003_0001"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44003"",""libelle_commune"":""Ancenis-Saint-G\u00e9r\u00e9on"",""code_circonscription"":""6.0"",""libelle_circonscription"":""6\u00e8me circonscription"",""code_bv"":""0001"",""inscrits"":""959"",""abstentions"":""215"",""votants"":""744"",""blancs"":""12.0"",""nuls"":""3"",""exprimes"":""729"",""ratio_abstentions_inscrits"":""22.42"",""ratio_votants_inscrits"":""77.58"",""ratio_blancs_inscrits"":""1.25"",""ratio_blancs_votants"":""1.61"",""ratio_nuls_inscrits"":""0.31"",""ratio_nuls_votants"":""0.4"",""ratio_exprimes_inscrits"":""76.02"",""ratio_exprimes_votants"":""97.98""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44003_0002"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44003"",""libelle_commune"":""Ancenis-Saint-G\u00e9r\u00e9on"",""code_circonscription"":""6.0"",""libelle_circonscription"":""6\u00e8me circonscription"",""code_bv"":""0002"",""inscrits"":""978"",""abstentions"":""224"",""votants"":""754"",""blancs"":""19.0"",""nuls"":""2"",""exprimes"":""733"",""ratio_abstentions_inscrits"":""22.9"",""ratio_votants_inscrits"":""77.1"",""ratio_blancs_inscrits"":""1.94"",""ratio_blancs_votants"":""2.52"",""ratio_nuls_inscrits"":""0.2"",""ratio_nuls_votants"":""0.27"",""ratio_exprimes_inscrits"":""74.95"",""ratio_exprimes_votants"":""97.21""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44003_0003"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44003"",""libelle_commune"":""Ancenis-Saint-G\u00e9r\u00e9on"",""code_circonscription"":""6.0"",""libelle_circonscription"":""6\u00e8me circonscription"",""code_bv"":""0003"",""inscrits"":""911"",""abstentions"":""248"",""votants"":""663"",""blancs"":""7.0"",""nuls"":""5"",""exprimes"":""651"",""ratio_abstentions_inscrits"":""27.22"",""ratio_votants_inscrits"":""72.78"",""ratio_blancs_inscrits"":""0.77"",""ratio_blancs_votants"":""1.06"",""ratio_nuls_inscrits"":""0.55"",""ratio_nuls_votants"":""0.75"",""ratio_exprimes_inscrits"":""71.46"",""ratio_exprimes_votants"":""98.19""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44005_0001"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44005"",""libelle_commune"":""Chaumes-En-Retz"",""code_circonscription"":""9.0"",""libelle_circonscription"":""9\u00e8me circonscription"",""code_bv"":""0001"",""inscrits"":""862"",""abstentions"":""170"",""votants"":""692"",""blancs"":""13.0"",""nuls"":""8"",""exprimes"":""671"",""ratio_abstentions_inscrits"":""19.72"",""ratio_votants_inscrits"":""80.28"",""ratio_blancs_inscrits"":""1.51"",""ratio_blancs_votants"":""1.88"",""ratio_nuls_inscrits"":""0.93"",""ratio_nuls_votants"":""1.16"",""ratio_exprimes_inscrits"":""77.84"",""ratio_exprimes_votants"":""96.97""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44005_0002"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44005"",""libelle_commune"":""Chaumes-En-Retz"",""code_circonscription"":""9.0"",""libelle_circonscription"":""9\u00e8me circonscription"",""code_bv"":""0002"",""inscrits"":""532"",""abstentions"":""100"",""votants"":""432"",""blancs"":""5.0"",""nuls"":""2"",""exprimes"":""425"",""ratio_abstentions_inscrits"":""18.8"",""ratio_votants_inscrits"":""81.2"",""ratio_blancs_inscrits"":""0.94"",""ratio_blancs_votants"":""1.16"",""ratio_nuls_inscrits"":""0.38"",""ratio_nuls_votants"":""0.46"",""ratio_exprimes_inscrits"":""79.89"",""ratio_exprimes_votants"":""98.38""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44005_0003"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44005"",""libelle_commune"":""Chaumes-En-Retz"",""code_circonscription"":""9.0"",""libelle_circonscription"":""9\u00e8me circonscription"",""code_bv"":""0003"",""inscrits"":""1161"",""abstentions"":""232"",""votants"":""929"",""blancs"":""19.0"",""nuls"":""8"",""exprimes"":""902"",""ratio_abstentions_inscrits"":""19.98"",""ratio_votants_inscrits"":""80.02"",""ratio_blancs_inscrits"":""1.64"",""ratio_blancs_votants"":""2.05"",""ratio_nuls_inscrits"":""0.69"",""ratio_nuls_votants"":""0.86"",""ratio_exprimes_inscrits"":""77.69"",""ratio_exprimes_votants"":""97.09""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44005_0004"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44005"",""libelle_commune"":""Chaumes-En-Retz"",""code_circonscription"":""9.0"",""libelle_circonscription"":""9\u00e8me circonscription"",""code_bv"":""0004"",""inscrits"":""717"",""abstentions"":""175"",""votants"":""542"",""blancs"":""3.0"",""nuls"":""3"",""exprimes"":""536"",""ratio_abstentions_inscrits"":""24.41"",""ratio_votants_inscrits"":""75.59"",""ratio_blancs_inscrits"":""0.42"",""ratio_blancs_votants"":""0.55"",""ratio_nuls_inscrits"":""0.42"",""ratio_nuls_votants"":""0.55"",""ratio_exprimes_inscrits"":""74.76"",""ratio_exprimes_votants"":""98.89""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44005_0005"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44005"",""libelle_commune"":""Chaumes-En-Retz"",""code_circonscription"":""9.0"",""libelle_circonscription"":""9\u00e8me circonscription"",""code_bv"":""0005"",""inscrits"":""909"",""abstentions"":""202"",""votants"":""707"",""blancs"":""8.0"",""nuls"":""5"",""exprimes"":""694"",""ratio_abstentions_inscrits"":""22.22"",""ratio_votants_inscrits"":""77.78"",""ratio_blancs_inscrits"":""0.88"",""ratio_blancs_votants"":""1.13"",""ratio_nuls_inscrits"":""0.55"",""ratio_nuls_votants"":""0.71"",""ratio_exprimes_inscrits"":""76.35"",""ratio_exprimes_votants"":""98.16""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44005_0006"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44005"",""libelle_commune"":""Chaumes-En-Retz"",""code_circonscription"":""9.0"",""libelle_circonscription"":""9\u00e8me circonscription"",""code_bv"":""0006"",""inscrits"":""1124"",""abstentions"":""193"",""votants"":""931"",""blancs"":""19.0"",""nuls"":""13"",""exprimes"":""899"",""ratio_abstentions_inscrits"":""17.17"",""ratio_votants_inscrits"":""82.83"",""ratio_blancs_inscrits"":""1.69"",""ratio_blancs_votants"":""2.04"",""ratio_nuls_inscrits"":""1.16"",""ratio_nuls_votants"":""1.4"",""ratio_exprimes_inscrits"":""79.98"",""ratio_exprimes_votants"":""96.56""}",2026-05-23T21:32:24.763164
