CODGEO,code_departement,P10_POP1564,P10_CHOM1564,P15_POP1564,P15_CHOM1564,P21_POP1564,P21_CHOM1564,taux_chomage_2012,taux_chomage_2017,taux_chomage_2022
44001,44,1151.0,99.0,1200.0,84.0,1256.43049226708,70.7483050837851,8.6012,7.0,5.6309
44002,44,1992.0,93.0,2278.0,130.0,2537.09182040888,113.466899563206,4.6687,5.7068,4.4723
44003,44,6538.05918778892,359.718874220931,6307.50540726127,520.545049004924,6707.58710058102,498.786053642484,5.5019,8.2528,7.4361
44005,44,3682.33866995074,246.097290640394,4096.14737274221,302.250821018063,4436.59403054214,266.617418659146,6.6832,7.3789,6.0095
44006,44,1114.0,78.0,1090.0,101.0,1142.35836885379,80.7073793732754,7.0018,9.2661,7.065
44007,44,1453.01483560545,112.371692060946,1461.35065144583,130.53414824059,1465.66406055044,111.219784135122,7.7337,8.9324,7.5884
44009,44,5480.53713735769,260.270981726335,5640.39860917388,342.505647972156,5876.98092273187,289.56059228405,4.749,6.0724,4.927
44010,44,1929.26555749857,162.140748295972,1748.27072008625,178.708047622546,1532.77775291408,153.909455092593,8.4043,10.222,10.0412
44012,44,1367.82650480502,117.060139511455,1407.2559917374,143.047021319145,1568.40515270678,124.906031922401,8.5581,10.165,7.9639
44013,44,1695.0,114.0,1832.0,158.0,2055.27617442267,128.607719402601,6.7257,8.6245,6.2574
44014,44,2099.92449382254,92.0040222761314,2309.07757949989,123.586124930135,2464.61098099955,96.5542415731122,4.3813,5.3522,3.9176
44015,44,5899.89175173686,365.560107623489,5910.67772501414,489.310693567893,6089.25673674123,454.964602968716,6.196,8.2784,7.4716
44016,44,595.345679012345,30.7407407407407,683.342339032637,44.7819645902261,701.94296872724,30.3552705268405,5.1635,6.5534,4.3245
44018,44,3954.0,184.0,4669.0,328.0,5070.35265856637,292.336721880069,4.6535,7.0251,5.7656
44019,44,568.44141069397,43.0489192263936,605.718784349918,38.2224522596475,649.979606551262,24.3748958330928,7.5731,6.3103,3.7501
44020,44,12000.2415264871,794.633762463554,11932.7154592813,1052.98480703991,12936.1089025758,925.703995625044,6.6218,8.8244,7.156
44021,44,2710.0,214.0,2823.0,265.0,2895.73907181003,190.262065508207,7.8967,9.3872,6.5704
44022,44,1665.0,80.0,1628.0,104.0,1756.26180010653,81.5652575013731,4.8048,6.3882,4.6443
44023,44,1734.99045322914,84.6267250317237,1863.44628269699,125.242645830979,1919.46067244281,113.350872284646,4.8776,6.721,5.9054
44024,44,1718.00541167375,74.9130266718206,1794.19683098592,92.6535211267606,1828.72442672832,73.7095093006777,4.3605,5.1641,4.0307
44025,44,2316.94761676523,116.196902550066,2361.64346634606,151.233211832726,2378.83363991267,131.704887368075,5.0151,6.4037,5.5365
44026,44,12276.8575461611,543.447596515845,12721.5784841507,868.593026002571,13239.9520668894,708.601967329123,4.4266,6.8277,5.352
44027,44,1322.0767408811,67.2913311226907,1434.65539016689,85.6657645466847,1690.81037813621,78.506978152244,5.0898,5.9712,4.6432
44028,44,2383.29700360013,120.129130316889,2309.26758422015,151.859949893821,2461.98158981361,160.91458594374,5.0405,6.5761,6.536
44029,44,4252.32523462591,242.45499232398,4264.64376400299,251.947722180732,4434.39913643897,227.635752670884,5.7017,5.9078,5.1334
44030,44,2350.06911712447,132.453970473381,2379.11898888681,180.872530749837,2560.01780585602,209.617974524106,5.6362,7.6025,8.1881
44031,44,489.808252427185,31.9223300970874,459.683823529414,41.1507352941178,474.711969203702,33.7372919647878,6.5173,8.952,7.1069
44032,44,1844.64942349642,100.582736054846,1980.81250349677,104.096183517396,2183.69510494251,75.9308759647371,5.4527,5.2552,3.4772
44033,44,1824.5741538441,89.1969982867837,1822.10777555458,94.5322022901308,1997.93232108529,85.6278532539548,4.8886,5.1881,4.2858
44035,44,11499.7045880598,594.974146065352,12098.1749855858,767.927372854096,12542.295489153,827.455442259224,5.1738,6.3475,6.5973
44036,44,7182.05626414849,693.517511696382,6946.62204890915,846.074622172483,6959.64499678342,717.782216627393,9.6563,12.1797,10.3135
44037,44,1857.92847380999,108.865404455527,1833.75031781035,125.886340640809,1973.3506869771,85.1202634402242,5.8595,6.865,4.3135
44038,44,1586.53930295162,83.9479332193032,1705.89954316264,139.732050792091,1868.03295308738,88.6517629677493,5.2913,8.1911,4.7457
44039,44,527.846659364732,19.4129244249726,662.208059981256,35.6129334582943,756.585817398238,36.4322597382145,3.6778,5.3779,4.8154
44041,44,3340.55858044438,140.885687867318,3540.40067851576,201.233696294182,3890.67457172657,217.683688931535,4.2174,5.6839,5.595
44043,44,4237.09081704232,297.471115567176,4212.39238579584,345.311714220919,4531.79172813996,254.658173552789,7.0206,8.1975,5.6194
44044,44,631.0,63.0,638.0,71.0,631.493067438607,60.6320304670718,9.9842,11.1285,9.6014
44045,44,1918.31958299731,81.1642886233219,2322.83721610803,107.137036658347,2382.05197347074,101.330744126645,4.231,4.6123,4.2539
44046,44,1794.04548900682,74.838514025777,1756.41952614804,115.813481014807,1696.23062810393,107.557610258365,4.1715,6.5937,6.341
44047,44,12005.9406069781,528.332380439605,13170.3153865447,869.083598293062,14834.3615312473,980.706533275086,4.4006,6.5988,6.611
44048,44,1468.0,77.0,1618.0,97.0,1621.15643194037,67.7728212898384,5.2452,5.9951,4.1805
44049,44,2206.83676960342,140.654623384432,2011.0304630912,177.656644661906,1910.00629618305,199.508213895415,6.3736,8.8341,10.4454
44050,44,1699.23365912907,101.456510501251,1751.96273461397,123.734755069351,1837.99285158456,78.6436147410849,5.9707,7.0626,4.2788
44051,44,1937.84683409918,141.227677420527,2058.91662925897,165.748151673238,2172.17452347017,120.68062585635,7.2879,8.0503,5.5558
44052,44,4172.1127377124,306.949024858704,4663.33019945795,458.882942661782,5015.14576529122,328.594659523286,7.3572,9.8402,6.552
44053,44,1174.22058099458,86.206302314131,1321.42280071813,91.6315080789946,1441.30685584816,72.3985737681199,7.3416,6.9343,5.0231
44054,44,1922.50319558792,84.0959909192944,1892.47631731271,118.727658342292,1894.77345691082,110.687582374659,4.3743,6.2737,5.8417
44055,44,8948.65685758337,655.582329758146,8004.88456365044,732.029980274524,7780.10135986327,677.187920197768,7.326,9.1448,8.7041
44056,44,2023.0,155.0,2198.0,146.0,2292.02811610024,124.529275571959,7.6619,6.6424,5.4331
44057,44,1377.0,116.0,1449.0,154.0,1351.13004257146,119.35921320434,8.4241,10.628,8.834
44058,44,316.556886227545,27.1057884231537,299.544303797467,21.8417721518987,296.566525426616,30.9765963304475,8.5627,7.2917,10.4451
44061,44,1788.69631015255,127.330307884556,1887.97030388234,141.193909004598,1894.04981821286,134.337867029162,7.1186,7.4786,7.0926
44062,44,957.444830439141,77.6593769372409,1089.11125297864,90.8961356491092,1213.29698110733,88.8898928703321,8.1111,8.3459,7.3263
44063,44,2150.0,136.0,2277.0,140.0,2321.13482028619,122.723162553462,6.3256,6.1484,5.2872
44064,44,2635.0,140.0,2730.0,169.0,3081.77192435222,138.393566119888,5.3131,6.1905,4.4907
44065,44,471.0,47.0,462.0,38.0,445.83677520265,34.9057076440671,9.9788,8.2251,7.8293
44066,44,3168.5550667971,166.961576588419,3740.59062501372,197.254320437534,4370.68908685642,178.783557566795,5.2693,5.2733,4.0905
44067,44,2927.71307338803,323.894809552003,2940.75047389027,300.707429232442,3083.19370216682,272.693092467867,11.0631,10.2255,8.8445
44068,44,1826.7778893424,136.896589382817,1959.01873185292,150.299809915489,2082.11029522259,128.518313934879,7.4939,7.6722,6.1725
44069,44,10053.2276670199,635.008815478026,9972.87507136362,846.333179112463,9632.1961725664,638.539886746329,6.3165,8.4864,6.6292
44070,44,2874.07825298274,126.218070582394,2985.81375623878,179.170878737735,3041.14446120359,155.853552460993,4.3916,6.0007,5.1248
44071,44,3561.0,157.0,3560.0,213.0,3695.83980742894,192.346847328586,4.4089,5.9831,5.2044
44072,44,3680.78236308373,264.611543845793,4029.95569364454,355.866171567142,4280.46691540337,259.776460453,7.189,8.8305,6.0689
44073,44,3276.0,175.0,3667.0,238.0,4094.07589773562,225.212001716943,5.3419,6.4903,5.5009
44074,44,2615.82310469314,185.040742650851,2557.01180836011,219.119478640243,2707.266018999,193.008701551365,7.0739,8.5694,7.1293
44075,44,1112.71516660795,53.1778849013089,1133.65275462953,102.828644940707,1054.04694597077,77.1108075230222,4.7791,9.0706,7.3157
44076,44,666.312175860731,51.2914884536102,797.948720785335,50.8256415550098,867.558799960467,49.3330434106236,7.6978,6.3695,5.6864
44077,44,1298.20368470888,76.746837672703,1378.41865935993,120.217211813509,1577.30312862475,76.7253110990687,5.9118,8.7214,4.8643
44078,44,224.258823529412,4.1529411764706,207.856502335204,21.8313637077169,188.196407503361,18.8487557260467,1.8519,10.5031,10.0155
44079,44,1933.18259888367,108.977604460985,1926.22965631571,115.570018543096,2058.16425647181,93.3065128410609,5.6372,5.9998,4.5335
44080,44,500.982781456951,36.1430463576157,502.697127937337,46.6932114882507,493.240873852218,23.2025981642769,7.2144,9.2885,4.7041
44081,44,2659.77212575106,148.831119052013,2706.77000491895,235.848501917474,2768.84818022452,150.841974533495,5.5956,8.7133,5.4478
44082,44,2889.0,151.0,3096.0,176.0,3432.42430049398,154.331639006423,5.2267,5.6848,4.4963
44083,44,1304.12583487179,66.9565130105556,1444.55969476355,101.691001660738,1556.15958629983,68.3771926097996,5.1342,7.0396,4.394
44084,44,4461.49669998839,157.70993138037,5153.14821146288,321.967776923301,5516.46617827539,296.640083696266,3.5349,6.248,5.3774
44085,44,591.0,32.0,635.0,46.0,561.739130050369,27.8953709662473,5.4146,7.2441,4.9659
44086,44,629.469847296378,28.1109585711685,659.293796732974,54.9830133015345,675.357564616924,66.7601203978007,4.4658,8.3397,9.8852
44087,44,4477.82376283104,242.477240203354,4431.53674184846,345.67014844638,4516.69410193664,307.839292034013,5.4151,7.8002,6.8156
44088,44,1721.98647205411,71.3193307226771,1797.82509633231,103.511410987054,1920.27227585134,65.4027353548556,4.1417,5.7576,3.4059
44089,44,2088.86500615006,120.530135301353,2211.7008374242,153.917123881028,2277.60089176233,102.358658054181,5.7701,6.9592,4.4941
44090,44,899.97771449736,48.1059820823472,935.983772819473,71.1737660581474,1065.04968710001,52.6863847535134,5.3452,7.6042,4.9468
44091,44,891.516587677725,60.7406905890318,910.174783188793,77.8438959306204,955.31196571498,49.7170485977204,6.8132,8.5526,5.2043
44092,44,386.571214392804,46.2728635682159,396.714905933429,52.2257597684514,404.983685030899,31.1228398061385,11.9701,13.1646,7.685
44094,44,1938.0,109.0,2018.0,136.0,2081.14099878424,104.879056299221,5.6244,6.7393,5.0395
44095,44,804.903213671716,55.7542440770866,919.411150581124,81.6894263732986,972.978228416554,61.5199935790458,6.9268,8.885,6.3229
44096,44,2810.83174038675,130.872638364081,2898.95006402049,174.215749039693,2934.36554801672,121.046995337268,4.656,6.0096,4.1252
44097,44,1007.0,73.0,1034.0,122.0,1072.32611589104,116.177466628377,7.2493,11.7988,10.8342
44098,44,2998.35523352766,197.626214802357,3069.85661332538,251.945077892625,3321.83102215428,150.069417916753,6.5912,8.2071,4.5177
44099,44,1125.76206443142,73.5239772069056,1123.12365688736,86.5572230840265,1124.10485546113,95.6551163408504,6.531,7.7068,8.5094
44100,44,1298.0,58.0,1337.0,90.0,1467.85354235728,76.4586101739042,4.4684,6.7315,5.2089
44101,44,3741.05204957235,215.587421650906,3823.38933452172,293.631463992462,4018.29318739982,290.047915112311,5.7627,7.6799,7.2182
