id_election,id_brut_miom,code_departement,libelle_departement,code_canton,libelle_canton,code_commune,libelle_commune,code_circonscription,libelle_circonscription,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_inscrits,ratio_blancs_votants,ratio_nuls_inscrits,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants,taux_participation,taux_abstention,annee,type_election
2022_pres_t1,44001_0001,44,Loire-Atlantique,,,44001,Abbaretz,6.0,6ème circonscription,0001,1553,376,1177,23.0,8,1146,24.21,75.79,1.48,1.95,0.52,0.68,73.79,97.37,75.7888,24.2112,2022,pres
2022_pres_t1,44002_0002,44,Loire-Atlantique,,,44002,Aigrefeuille-Sur-Maine,10.0,10ème circonscription,0002,1046,228,818,18.0,6,794,21.8,78.2,1.72,2.2,0.57,0.73,75.91,97.07,78.2027,21.7973,2022,pres
2022_pres_t1,44002_0003,44,Loire-Atlantique,,,44002,Aigrefeuille-Sur-Maine,10.0,10ème circonscription,0003,1011,216,795,11.0,6,778,21.36,78.64,1.09,1.38,0.59,0.75,76.95,97.86,78.635,21.365,2022,pres
2022_pres_t1,44003_0004,44,Loire-Atlantique,,,44003,Ancenis-Saint-Géréon,6.0,6ème circonscription,0004,941,214,727,18.0,5,704,22.74,77.26,1.91,2.48,0.53,0.69,74.81,96.84,77.2582,22.7418,2022,pres
2022_pres_t1,44003_0005,44,Loire-Atlantique,,,44003,Ancenis-Saint-Géréon,6.0,6ème circonscription,0005,890,195,695,17.0,6,672,21.91,78.09,1.91,2.45,0.67,0.86,75.51,96.69,78.0899,21.9101,2022,pres
2022_pres_t1,44003_0006,44,Loire-Atlantique,,,44003,Ancenis-Saint-Géréon,6.0,6ème circonscription,0006,1012,159,853,15.0,5,833,15.71,84.29,1.48,1.76,0.49,0.59,82.31,97.66,84.2885,15.7115,2022,pres
2022_pres_t1,44003_0007,44,Loire-Atlantique,,,44003,Ancenis-Saint-Géréon,6.0,6ème circonscription,0007,908,185,723,14.0,6,703,20.37,79.63,1.54,1.94,0.66,0.83,77.42,97.23,79.6256,20.3744,2022,pres
2022_pres_t1,44003_0008,44,Loire-Atlantique,,,44003,Ancenis-Saint-Géréon,6.0,6ème circonscription,0008,917,175,742,13.0,4,725,19.08,80.92,1.42,1.75,0.44,0.54,79.06,97.71,80.916,19.084,2022,pres
2022_pres_t1,44003_0009,44,Loire-Atlantique,,,44003,Ancenis-Saint-Géréon,6.0,6ème circonscription,0009,885,172,713,15.0,4,694,19.44,80.56,1.69,2.1,0.45,0.56,78.42,97.34,80.565,19.435,2022,pres
2022_pres_t1,44020_0010,44,Loire-Atlantique,,,44020,Bouguenais,4.0,4ème circonscription,0010,852,228,624,7.0,1,616,26.76,73.24,0.82,1.12,0.12,0.16,72.3,98.72,73.2394,26.7606,2022,pres
2022_pres_t1,44020_0011,44,Loire-Atlantique,,,44020,Bouguenais,4.0,4ème circonscription,0011,846,182,664,15.0,6,643,21.51,78.49,1.77,2.26,0.71,0.9,76.0,96.84,78.487,21.513,2022,pres
2022_pres_t1,44020_0012,44,Loire-Atlantique,,,44020,Bouguenais,4.0,4ème circonscription,0012,979,226,753,7.0,5,741,23.08,76.92,0.72,0.93,0.51,0.66,75.69,98.41,76.9152,23.0848,2022,pres
2022_pres_t1,44020_0013,44,Loire-Atlantique,,,44020,Bouguenais,4.0,4ème circonscription,0013,860,193,667,8.0,2,657,22.44,77.56,0.93,1.2,0.23,0.3,76.4,98.5,77.5581,22.4419,2022,pres
2022_pres_t1,44020_0014,44,Loire-Atlantique,,,44020,Bouguenais,4.0,4ème circonscription,0014,956,261,695,14.0,8,673,27.3,72.7,1.46,2.01,0.84,1.15,70.4,96.83,72.6987,27.3013,2022,pres
2022_pres_t1,44020_0015,44,Loire-Atlantique,,,44020,Bouguenais,4.0,4ème circonscription,0015,1128,265,863,20.0,2,841,23.49,76.51,1.77,2.32,0.18,0.23,74.56,97.45,76.5071,23.4929,2022,pres
2022_pres_t1,44026_0016,44,Loire-Atlantique,,,44026,Carquefou,5.0,5ème circonscription,0016,823,191,632,16.0,4,612,23.21,76.79,1.94,2.53,0.49,0.63,74.36,96.84,76.7922,23.2078,2022,pres
