CODGEO,code_departement,P22_POP,P16_POP,P22_MEN,MED_SL23,PR_MD60_23,P22_CHOM1564,P22_ACT1564,P22_EMPLT,ETTOT24
44001,44,2052,2068,862.38611,24080,,71.258564,1008.929632,304.951369,57
44002,44,4121,3763,1548.661439,27630,,115.135493,2109.839673,1550.021111,140
44003,44,11346,10595,5331.564209,26100,13,482.984574,5043.676021,14039.998782,720
44005,44,7288,6691,3024.345265,25870,8,270.963314,3618.8375,1907.579467,177
44006,44,1881,1797,877.499471,25700,,81.246371,839.637513,274.498546,47
44007,44,2451,2501,1117.751058,22940,,111.109578,1134.29957,368.942443,75
44009,44,9617,8867,3953.733359,32310,6,291.278549,4500.624751,3711.395256,360
44010,44,2799,2947,1491.470215,27730,,152.57318,1064.53603,577.578725,128
44012,44,3523,2944,1789,28490,,131,1198,696.081346,113
44013,44,3317,2999,1318.354997,26930,,130.14206,1713.79711,536.086785,48
44014,44,3967,3718,1580.810745,28650,,96.790323,2044.131238,2058.67546,155
44015,44,10352,9687,4336.938669,25370,10,462.681301,4795.730232,3934.72485,303
44016,44,1114,1040,426.077539,25500,,30.914907,586.943313,248.997931,25
44018,44,8281,7620,3505.562215,28660,7,297.050313,4080.798344,2383.923985,247
44019,44,1100,956,433,27720,,25,565,94.192012,17
44020,44,20590,19049,8799.022117,26590,13.8,949.696101,10230.954832,13370.35589,598
44021,44,5004,4931,2088.603254,25470,,189.954177,2240.020844,986.787691,143
44022,44,2814,2632,1153.404799,25720,,82.829658,1388.229476,652.433165,59
44023,44,3067,3141,1267.180064,25630,,113.428743,1528.204639,1025.59916,74
44024,44,2760,2790,1129.717461,29020,,72.8704,1450.296363,265.455322,44
44025,44,4031,4018,1569.429508,26710,,132.661441,1896.019261,1279.640404,135
44026,44,20535,19384,9027.761604,30820,7.4,717.15567,9831.42844,20237.785655,990
44027,44,2600,2217,954,28050,,81,1421,268.649433,41
44028,44,4011,3698,1642.842016,29370,,161.78212,1934.571683,1488.404074,124
44029,44,7158,6713,2932.992864,27150,,231.082643,3593.670644,1963.59064,211
44030,44,4424,4109,1858.622153,25090,,211.609132,2003.878592,514.419112,56
44031,44,811,816,361,23880,,34,357,123.532608,26
44032,44,3443,3265,1312.118068,28350,,76.450962,1775.219403,898.970466,85
44033,44,3246,2983,1237.501133,28930,,86.322103,1626.928741,380.708659,47
44035,44,20483,19348,8608.155247,31490,7,825.799013,9857.849578,10410.198915,637
44036,44,12231,11854,5957.052997,23000,19,681.210577,5021.090037,9824.293775,623
44037,44,3138,3007,1254,28380,,85,1608,718.83258,97
44038,44,3035,2814,1240.069384,25200,,89.324858,1529.704167,581.873822,69
44039,44,1172,1047,434.567145,28080,,36.718438,639.334705,220.093128,50
44041,44,6342,5490,2539.658646,27850,,158.818413,3272.811068,3083.161526,206
44043,44,7459,7035,3393.239622,28020,9,254.834148,3587.919372,4952.404813,392
