id_election,annee,code_commune,population_totale,revenu_median,taux_pauvrete,taux_chomage,nb_entreprises,taux_faits_securite_pour_mille
2012_legi_t1,2012,44001,2052,24080,,8.601216,57,2.671859
2012_legi_t1,2012,44002,4121,27630,,4.668675,140,4.168135
2012_legi_t1,2012,44003,11346,26100,13,5.501921,720,7.185765
2012_legi_t1,2012,44004,,,,,,
2012_legi_t1,2012,44005,7288,25870,8,6.683179,177,1.564088
2012_legi_t1,2012,44006,1881,25700,,7.001795,47,3.996996
2012_legi_t1,2012,44007,2451,22940,,7.733692,75,0
2012_legi_t1,2012,44008,,,,,,
2012_legi_t1,2012,44009,9617,32310,6,4.749005,360,14.525764
2012_legi_t1,2012,44010,2799,27730,,8.404273,128,1.1107
2012_legi_t1,2012,44011,,,,,,
2012_legi_t1,2012,44012,3523,28490,,8.558113,113,1.204174
2012_legi_t1,2012,44013,3317,26930,,6.725664,48,0
2012_legi_t1,2012,44014,3967,28650,,4.381301,155,5.618942
2012_legi_t1,2012,44015,10352,25370,10,6.196048,303,6.982349
2012_legi_t1,2012,44016,1114,25500,,5.163511,25,0
2012_legi_t1,2012,44017,,,,,,
2012_legi_t1,2012,44018,8281,28660,7,4.653515,247,7.749524
2012_legi_t1,2012,44019,1100,27720,,7.57315,17,0
2012_legi_t1,2012,44020,20590,26590,13.8,6.621815,598,9.795333
2012_legi_t1,2012,44021,5004,25470,,7.896679,143,3.953073
2012_legi_t1,2012,44022,2814,25720,,4.804805,59,0
2012_legi_t1,2012,44023,3067,25630,,4.877648,74,0
2012_legi_t1,2012,44024,2760,29020,,4.360465,44,0
2012_legi_t1,2012,44025,4031,26710,,5.015085,135,0
2012_legi_t1,2012,44026,20535,30820,7.4,4.426602,990,4.978964
2012_legi_t1,2012,44027,2600,28050,,5.08982,41,0
2012_legi_t1,2012,44028,4011,29370,,5.04046,124,9.212297
2012_legi_t1,2012,44029,7158,27150,,5.701704,211,2.313521
2012_legi_t1,2012,44030,4424,25090,,5.636173,56,2.648223
