commune_sk,code_commune,libelle_commune,code_departement,region,code_region
1,44001,Abbaretz,44,Pays de la Loire,52
2,44002,Aigrefeuille-Sur-Maine,44,Pays de la Loire,52
3,44003,Ancenis-Saint-Géréon,44,Pays de la Loire,52
4,44004,Anetz,44,Pays de la Loire,52
5,44005,Chaumes-En-Retz,44,Pays de la Loire,52
6,44006,Assérac,44,Pays de la Loire,52
7,44007,Avessac,44,Pays de la Loire,52
8,44008,Barbechat,44,Pays de la Loire,52
9,44009,Basse-Goulaine,44,Pays de la Loire,52
10,44010,Batz-Sur-Mer,44,Pays de la Loire,52
11,44011,Bellign?,44,Pays de la Loire,52
12,44012,La Bernerie-En-Retz,44,Pays de la Loire,52
13,44013,Besné,44,Pays de la Loire,52
14,44014,Le Bignon,44,Pays de la Loire,52
15,44015,Blain,44,Pays de la Loire,52
16,44016,La Boissière-Du-Doré,44,Pays de la Loire,52
17,44017,Bonnoeuvre,44,Pays de la Loire,52
18,44018,Bouaye,44,Pays de la Loire,52
19,44019,Bouée,44,Pays de la Loire,52
20,44020,Bouguenais,44,Pays de la Loire,52
21,44021,Villeneuve-En-Retz,44,Pays de la Loire,52
22,44022,Boussay,44,Pays de la Loire,52
23,44023,Bouvron,44,Pays de la Loire,52
24,44024,Brains,44,Pays de la Loire,52
25,44025,Campbon,44,Pays de la Loire,52
26,44026,Carquefou,44,Pays de la Loire,52
27,44027,Casson,44,Pays de la Loire,52
28,44028,Le Cellier,44,Pays de la Loire,52
29,44029,Divatte-Sur-Loire,44,Pays de la Loire,52
30,44030,La Chapelle-Des-Marais,44,Pays de la Loire,52
31,44031,La Chapelle-Glain,44,Pays de la Loire,52
32,44032,La Chapelle-Heulin,44,Pays de la Loire,52
33,44033,La Chapelle-Launay,44,Pays de la Loire,52
34,44034,La Chapelle-Saint-Sauveur,44,Pays de la Loire,52
35,44035,La Chapelle-Sur-Erdre,44,Pays de la Loire,52
36,44036,Châteaubriant,44,Pays de la Loire,52
37,44037,Château-Thébaud,44,Pays de la Loire,52
38,44038,Chauvé,44,Pays de la Loire,52
39,44039,Cheix-En-Retz,44,Pays de la Loire,52
40,44040,Ch?M?R?,44,Pays de la Loire,52
41,44041,La Chevrolière,44,Pays de la Loire,52
42,44043,Clisson,44,Pays de la Loire,52
43,44044,Conquereuil,44,Pays de la Loire,52
44,44045,Cordemais,44,Pays de la Loire,52
45,44046,Corsept,44,Pays de la Loire,52
46,44047,Couëron,44,Pays de la Loire,52
47,44048,Couffé,44,Pays de la Loire,52
48,44049,Le Croisic,44,Pays de la Loire,52
49,44050,Crossac,44,Pays de la Loire,52
50,44051,Derval,44,Pays de la Loire,52
51,44052,Donges,44,Pays de la Loire,52
52,44053,Drefféac,44,Pays de la Loire,52
53,44054,Erbray,44,Pays de la Loire,52
54,44055,La Baule-Escoublac,44,Pays de la Loire,52
55,44056,Fay-De-Bretagne,44,Pays de la Loire,52
56,44057,Fégréac,44,Pays de la Loire,52
57,44058,Fercé,44,Pays de la Loire,52
58,44059,Fresnay-En-Retz,44,Pays de la Loire,52
59,44060,Ingrandes-Le-Fresne-Sur-Loire,44,Pays de la Loire,52
60,44061,Frossay,44,Pays de la Loire,52
61,44062,Le Gâvre,44,Pays de la Loire,52
62,44063,Gétigné,44,Pays de la Loire,52
63,44064,Gorges,44,Pays de la Loire,52
64,44065,Grand-Auverné,44,Pays de la Loire,52
65,44066,Grandchamps-Des-Fontaines,44,Pays de la Loire,52
66,44067,Guémené-Penfao,44,Pays de la Loire,52
67,44068,Guenrouet,44,Pays de la Loire,52
68,44069,Guérande,44,Pays de la Loire,52
69,44070,La Haie-Fouassière,44,Pays de la Loire,52
70,44071,Haute-Goulaine,44,Pays de la Loire,52
71,44072,Herbignac,44,Pays de la Loire,52
72,44073,Héric,44,Pays de la Loire,52
73,44074,Indre,44,Pays de la Loire,52
74,44075,Issé,44,Pays de la Loire,52
75,44076,Jans,44,Pays de la Loire,52
76,44077,Joué-Sur-Erdre,44,Pays de la Loire,52
77,44078,Juigné-Des-Moutiers,44,Pays de la Loire,52
78,44079,Le Landreau,44,Pays de la Loire,52
79,44080,Lavau-Sur-Loire,44,Pays de la Loire,52
80,44081,Legé,44,Pays de la Loire,52
81,44082,Ligné,44,Pays de la Loire,52
82,44083,La Limouzinière,44,Pays de la Loire,52
83,44084,Le Loroux-Bottereau,44,Pays de la Loire,52
84,44085,Louisfert,44,Pays de la Loire,52
85,44086,Lusanger,44,Pays de la Loire,52
86,44087,Machecoul-Saint-Même,44,Pays de la Loire,52
87,44088,Maisdon-Sur-Sèvre,44,Pays de la Loire,52
88,44089,Malville,44,Pays de la Loire,52
89,44090,La Marne,44,Pays de la Loire,52
90,44091,Marsac-Sur-Don,44,Pays de la Loire,52
91,44092,Massérac,44,Pays de la Loire,52
92,44093,Maumusson,44,Pays de la Loire,52
93,44094,Mauves-Sur-Loire,44,Pays de la Loire,52
94,44095,La Meilleraye-De-Bretagne,44,Pays de la Loire,52
95,44096,Mésanger,44,Pays de la Loire,52
96,44097,Mesquer,44,Pays de la Loire,52
97,44098,Missillac,44,Pays de la Loire,52
98,44099,Moisdon-La-Rivière,44,Pays de la Loire,52
99,44100,Monnières,44,Pays de la Loire,52
100,44101,La Montagne,44,Pays de la Loire,52
101,44102,Montbert,44,Pays de la Loire,52
102,44103,Montoir-De-Bretagne,44,Pays de la Loire,52
103,44104,Montrelais,44,Pays de la Loire,52
104,44105,Mouais,44,Pays de la Loire,52
105,44106,Les Moutiers-En-Retz,44,Pays de la Loire,52
106,44107,Mouzeil,44,Pays de la Loire,52
107,44108,Mouzillon,44,Pays de la Loire,52
108,44109,Nantes,44,Pays de la Loire,52
109,44110,Nort-Sur-Erdre,44,Pays de la Loire,52
110,44111,Notre-Dame-Des-Landes,44,Pays de la Loire,52
111,44112,Noyal-Sur-Brutz,44,Pays de la Loire,52
112,44113,Nozay,44,Pays de la Loire,52
113,44114,Orvault,44,Pays de la Loire,52
114,44115,Oudon,44,Pays de la Loire,52
115,44116,Paimboeuf,44,Pays de la Loire,52
116,44117,Le Pallet,44,Pays de la Loire,52
117,44118,Pannecé,44,Pays de la Loire,52
118,44119,Paulx,44,Pays de la Loire,52
119,44120,Le Pellerin,44,Pays de la Loire,52
120,44121,Petit-Auverné,44,Pays de la Loire,52
121,44122,Petit-Mars,44,Pays de la Loire,52
122,44123,Pierric,44,Pays de la Loire,52
123,44124,Le Pin,44,Pays de la Loire,52
124,44125,Piriac-Sur-Mer,44,Pays de la Loire,52
125,44126,La Plaine-Sur-Mer,44,Pays de la Loire,52
126,44127,La Planche,44,Pays de la Loire,52
127,44128,Plessé,44,Pays de la Loire,52
128,44129,Pontchâteau,44,Pays de la Loire,52
129,44130,Pont-Saint-Martin,44,Pays de la Loire,52
130,44131,Pornic,44,Pays de la Loire,52
131,44132,Pornichet,44,Pays de la Loire,52
132,44133,Port-Saint-Père,44,Pays de la Loire,52
133,44134,Pouillé-Les-Côteaux,44,Pays de la Loire,52
134,44135,Le Pouliguen,44,Pays de la Loire,52
135,44136,Préfailles,44,Pays de la Loire,52
136,44137,Prinquiau,44,Pays de la Loire,52
137,44138,Puceul,44,Pays de la Loire,52
138,44139,Quilly,44,Pays de la Loire,52
139,44140,La Regrippière,44,Pays de la Loire,52
140,44141,La Remaudière,44,Pays de la Loire,52
141,44142,Remouillé,44,Pays de la Loire,52
142,44143,Rezé,44,Pays de la Loire,52
143,44144,Riaillé,44,Pays de la Loire,52
144,44145,Rouans,44,Pays de la Loire,52
145,44146,Rougé,44,Pays de la Loire,52
146,44147,La Rouxi?Re,44,Pays de la Loire,52
147,44148,Ruffigné,44,Pays de la Loire,52
148,44149,Saffré,44,Pays de la Loire,52
149,44150,Saint-Aignan-Grandlieu,44,Pays de la Loire,52
150,44151,Saint-André-Des-Eaux,44,Pays de la Loire,52
151,44152,Sainte-Anne-Sur-Brivet,44,Pays de la Loire,52
152,44153,Saint-Aubin-Des-Châteaux,44,Pays de la Loire,52
153,44154,Saint-Brevin-Les-Pins,44,Pays de la Loire,52
154,44155,Saint-Colomban,44,Pays de la Loire,52
155,44156,Corcoué-Sur-Logne,44,Pays de la Loire,52
156,44157,Saint-Etienne-De-Mer-Morte,44,Pays de la Loire,52
157,44158,Saint-Etienne-De-Montluc,44,Pays de la Loire,52
158,44159,Saint-Fiacre-Sur-Maine,44,Pays de la Loire,52
159,44160,Saint-Géréon,44,Pays de la Loire,52
160,44161,Saint-Gildas-Des-Bois,44,Pays de la Loire,52
161,44162,Saint-Herblain,44,Pays de la Loire,52
162,44163,Vair-Sur-Loire,44,Pays de la Loire,52
163,44164,Saint-Hilaire-De-Chaléons,44,Pays de la Loire,52
164,44165,Saint-Hilaire-De-Clisson,44,Pays de la Loire,52
165,44166,Saint-Jean-De-Boiseau,44,Pays de la Loire,52
166,44168,Saint-Joachim,44,Pays de la Loire,52
167,44169,Saint-Julien-De-Concelles,44,Pays de la Loire,52
168,44170,Saint-Julien-De-Vouvantes,44,Pays de la Loire,52
169,44171,Saint-Léger-Les-Vignes,44,Pays de la Loire,52
170,44172,Sainte-Luce-Sur-Loire,44,Pays de la Loire,52
171,44173,Saint-Lumine-De-Clisson,44,Pays de la Loire,52
172,44174,Saint-Lumine-De-Coutais,44,Pays de la Loire,52
173,44175,Saint-Lyphard,44,Pays de la Loire,52
174,44176,Saint-Malo-De-Guersac,44,Pays de la Loire,52
175,44178,Saint-Mars-De-Coutais,44,Pays de la Loire,52
176,44179,Saint-Mars-Du-Désert,44,Pays de la Loire,52
177,44180,Vallons-De-L'Erdre,44,Pays de la Loire,52
178,44181,Saint-M?Me-Le-Tenu,44,Pays de la Loire,52
179,44182,Saint-Michel-Chef-Chef,44,Pays de la Loire,52
180,44183,Saint-Molf,44,Pays de la Loire,52
181,44184,Saint-Nazaire,44,Pays de la Loire,52
182,44185,Saint-Nicolas-De-Redon,44,Pays de la Loire,52
183,44186,Sainte-Pazanne,44,Pays de la Loire,52
184,44187,Saint-Père-En-Retz,44,Pays de la Loire,52
185,44188,Saint-Philbert-De-Grand-Lieu,44,Pays de la Loire,52
186,44189,Sainte-Reine-De-Bretagne,44,Pays de la Loire,52
187,44190,Saint-Sébastien-Sur-Loire,44,Pays de la Loire,52
188,44191,Saint-Sulpice-Des-Landes,44,Pays de la Loire,52
189,44192,Saint-Viaud,44,Pays de la Loire,52
190,44193,Saint-Vincent-Des-Landes,44,Pays de la Loire,52
191,44194,Sautron,44,Pays de la Loire,52
192,44195,Savenay,44,Pays de la Loire,52
193,44196,Sévérac,44,Pays de la Loire,52
194,44197,Sion-Les-Mines,44,Pays de la Loire,52
195,44198,Les Sorinières,44,Pays de la Loire,52
196,44199,Soudan,44,Pays de la Loire,52
197,44200,Soulvache,44,Pays de la Loire,52
198,44201,Sucé-Sur-Erdre,44,Pays de la Loire,52
199,44202,Teillé,44,Pays de la Loire,52
200,44203,Le Temple-De-Bretagne,44,Pays de la Loire,52
201,44204,Thouaré-Sur-Loire,44,Pays de la Loire,52
202,44205,Les Touches,44,Pays de la Loire,52
203,44206,Touvois,44,Pays de la Loire,52
204,44207,Trans-Sur-Erdre,44,Pays de la Loire,52
205,44208,Treffieux,44,Pays de la Loire,52
206,44209,Treillières,44,Pays de la Loire,52
207,44210,Trignac,44,Pays de la Loire,52
208,44211,La Turballe,44,Pays de la Loire,52
209,44212,Vallet,44,Pays de la Loire,52
210,44213,Loireauxence,44,Pays de la Loire,52
211,44214,Vay,44,Pays de la Loire,52
212,44215,Vertou,44,Pays de la Loire,52
213,44216,Vieillevigne,44,Pays de la Loire,52
214,44217,Vigneux-De-Bretagne,44,Pays de la Loire,52
215,44218,Villepot,44,Pays de la Loire,52
216,44219,Vritz,44,Pays de la Loire,52
217,44220,Vue,44,Pays de la Loire,52
218,44221,La Chevallerais,44,Pays de la Loire,52
219,44222,La Roche-Blanche,44,Pays de la Loire,52
220,44223,Geneston,44,Pays de la Loire,52
221,44224,La Grigonnais,44,Pays de la Loire,52
222,49001,Les Alleuds,49,Pays de la Loire,52
223,49002,Allonnes,49,Pays de la Loire,52
224,49003,Tuffalun,49,Pays de la Loire,52
225,49004,Andard,49,Pays de la Loire,52
226,49005,Andign?,49,Pays de la Loire,52
227,49006,Andrez?,49,Pays de la Loire,52
228,49007,Angers,49,Pays de la Loire,52
229,49008,Angrie,49,Pays de la Loire,52
230,49009,Antoigné,49,Pays de la Loire,52
231,49010,Armaillé,49,Pays de la Loire,52
232,49011,Artannes-Sur-Thouet,49,Pays de la Loire,52
233,49012,Aubigné-Sur-Layon,49,Pays de la Loire,52
234,49013,Auverse,49,Pays de la Loire,52
235,49014,Avir?,49,Pays de la Loire,52
236,49015,Avrillé,49,Pays de la Loire,52
237,49017,Baracé,49,Pays de la Loire,52
238,49018,Baugé-En-Anjou,49,Pays de la Loire,52
239,49019,Baun?,49,Pays de la Loire,52
240,49020,Beaucouzé,49,Pays de la Loire,52
241,49021,Beaufort-En-Anjou,49,Pays de la Loire,52
242,49022,Beaulieu-Sur-Layon,49,Pays de la Loire,52
243,49023,Beaupréau-En-Mauges,49,Pays de la Loire,52
244,49024,Beausse,49,Pays de la Loire,52
245,49025,Beauvau,49,Pays de la Loire,52
246,49026,Bécon-Les-Granits,49,Pays de la Loire,52
247,49027,Bégrolles-En-Mauges,49,Pays de la Loire,52
248,49028,Béhuard,49,Pays de la Loire,52
249,49029,Blaison-Saint-Sulpice,49,Pays de la Loire,52
250,49030,Blou,49,Pays de la Loire,52
251,49031,Boc?,49,Pays de la Loire,52
252,49032,La Bohalle,49,Pays de la Loire,52
253,49033,La Boissi?Re-Sur-Evre,49,Pays de la Loire,52
254,49034,Botz-En-Mauges,49,Pays de la Loire,52
255,49035,Bouchemaine,49,Pays de la Loire,52
256,49036,Bouillé-Ménard,49,Pays de la Loire,52
257,49037,Le Bourg-D'Ir?,49,Pays de la Loire,52
258,49038,Bourg-L'Evêque,49,Pays de la Loire,52
259,49039,Bourgneuf-En-Mauges,49,Pays de la Loire,52
260,49040,Bouzill?,49,Pays de la Loire,52
261,49041,Brain-Sur-Allonnes,49,Pays de la Loire,52
262,49042,Brain-Sur-L'Authion,49,Pays de la Loire,52
263,49043,Brain-Sur-Longuen?E,49,Pays de la Loire,52
264,49044,Breil,49,Pays de la Loire,52
265,49045,La Breille-Les-Pins,49,Pays de la Loire,52
266,49046,Brézé,49,Pays de la Loire,52
267,49047,Brign?,49,Pays de la Loire,52
268,49048,Briollay,49,Pays de la Loire,52
269,49049,Brion,49,Pays de la Loire,52
270,49050,Brissac-Loire-Aubance,49,Pays de la Loire,52
271,49051,Brissarthe,49,Pays de la Loire,52
272,49052,Broc,49,Pays de la Loire,52
273,49053,Brossay,49,Pays de la Loire,52
274,49054,Candé,49,Pays de la Loire,52
275,49055,Cantenay-Epinard,49,Pays de la Loire,52
276,49056,Carbay,49,Pays de la Loire,52
277,49057,Cernusson,49,Pays de la Loire,52
278,49058,Les Cerqueux,49,Pays de la Loire,52
279,49059,Les Cerqueux-Sous-Passavant,49,Pays de la Loire,52
280,49060,Bellevigne-Les-Châteaux,49,Pays de la Loire,52
281,49061,Challain-La-Potherie,49,Pays de la Loire,52
282,49062,Chalonnes-Sous-Le-Lude,49,Pays de la Loire,52
283,49063,Chalonnes-Sur-Loire,49,Pays de la Loire,52
284,49064,Chambellay,49,Pays de la Loire,52
285,49065,Les Hauts-D'Anjou,49,Pays de la Loire,52
286,49066,Champ-Sur-Layon,49,Pays de la Loire,52
287,49067,Chenillé-Champteussé,49,Pays de la Loire,52
288,49068,Champtocé-Sur-Loire,49,Pays de la Loire,52
289,49069,Orée-D'Anjou,49,Pays de la Loire,52
290,49070,Chanteloup-Les-Bois,49,Pays de la Loire,52
291,49071,Chanzeaux,49,Pays de la Loire,52
292,49072,La Chapelle-Du-Gen?T,49,Pays de la Loire,52
293,49073,La Chapelle-Hullin,49,Pays de la Loire,52
294,49074,La Chapelle-Rousselin,49,Pays de la Loire,52
295,49075,La Chapelle-Saint-Florent,49,Pays de la Loire,52
296,49076,La Chapelle-Saint-Laud,49,Pays de la Loire,52
